Name,Input List,Start Frame,Area AVG,Area STD,RG AVG,RG STD,RDF Peak,Coordination at Minimum,backbone_length,mean_charge,sum_charge,max_charge,min_charge,std_charge,mean_length,max_length,std_length,max_S_block,max_E_block,transitions,max_block_size,min_block_size,mean_block_size,std_block_size,blockiness,gini,max_fft_value,mean_fft_value,sum_fft_value,std_fft_value,hydrophobic_ratio,hydrophobic_ratio_weighted,harwoods_blockiness,mayo_lewis
polymerJ90,"[8, 3, 6, 8, -3, 8, -2, 9, 1, 7, -1, 6, 2, -9, 9, -6, -4, 0, 1, -5]",830.0,15638.219551198874,352.93583931858274,20.58821238109043,0.1360013746801408,1.6749786178043644,3.82995238095238,20,1.9,38,9,-9,5.430469592954186,4.9,9,3.014962686336267,4,2,11,4,1,1.5833333333333333,0.9537935951882998,0.3888888888888889,0.3510204081632653,48.25009730912649,21.80868156513642,436.17363130272844,13.652157645972256,0.631578947368421,0.6938775510204082,-0.7105263157894737,1.7142857142857144
polymerJ91,"[9, 5, -8, -3, -9, 1, -8, -8, 8, 9, -5, -4, -8, 0, 2, 5, -3]",830.0,15125.946150392409,396.23139825204174,18.81829167161669,0.0996595288532041,1.885221562447737,3.974566326530613,17,-1.0,-17,9,-9,6.230853024407228,5.588235294117647,9,2.931749598676968,2,3,7,3,1,2.0,0.7071067811865476,0.5333333333333333,0.2922600619195046,40.47885226579782,24.465437499485216,415.9124374912487,8.856769611928629,0.4375,0.4105263157894737,-0.38125,0.7777777777777778
polymerJ92,"[-2, 5, 3, 0, 0, -4, -1, -1, -9, -4, 5, 8, -5, 2, -2, 0, 0]",830.0,9876.611945885155,308.0042064388291,16.095782686642238,0.168202712905521,1.7475492037386633,3.87591836734694,17,-0.29411764705882354,-5,8,-9,4.011229910878193,3.0,9,2.678893538055459,2,5,6,5,1,1.8571428571428572,1.355261854357877,0.5,0.4913494809688581,25.5615313484054,15.680724157008747,266.5723106691487,5.3958215233458455,0.38461538461538464,0.45098039215686275,-0.23958333333333337,0.6250000000000001
polymerJ93,"[-5, 6, -2, 8, 6, 0, -6, -4, -8, -6, -9, 6, -6, -7, -6, 7, 2, -4, 0]",830.0,14973.559656381443,355.75906155576,17.979614426067897,0.1598159209504841,1.7562022266704196,3.99749433106576,19,-1.4736842105263157,-28,8,-9,5.538082710722486,5.157894736842105,9,2.4976443195167732,2,5,8,5,1,1.8888888888888888,1.286204100310025,0.5,0.26100966702470463,34.94138506698097,23.50003989468368,446.50075799898997,8.470426491521861,0.35294117647058826,0.35714285714285715,-0.29914529914529914,0.5454545454545453
polymerJ94,"[3, 2, 9, 1, -1, 5, -9, 4, -5, 1, 6, 2, -2, -1, -2, -2, 9, 4]",830.0,14382.839705857634,277.17065470535687,18.12695382186344,0.1431213385497309,1.6998348465538773,3.925584415584415,18,1.3333333333333333,24,9,-9,4.484541349024569,3.7777777777777777,9,2.75994274408316,4,4,8,4,1,2.0,1.247219128924647,0.5294117647058824,0.392156862745098,28.377649035015477,18.93900343025185,340.90206174453334,5.942570914083269,0.6111111111111112,0.6764705882352942,-0.6638655462184876,1.5714285714285716
polymerJ95,"[-7, 4, 0, -7, -1, -6, -1, 7, 4, 5, 7, -3, 6, -2, 2, 3, 8, -1, 9]",830.0,13574.304435474984,297.2826411412669,20.36860270636422,0.197002406833692,1.6849795563476049,3.60344387755102,19,1.4210526315789473,27,9,-7,4.923796026748,4.368421052631579,9,2.679562539233233,4,4,9,4,1,1.8,1.2489995996796797,0.47058823529411764,0.3500317057704503,36.95933363378024,18.70977849963472,355.48579149305965,12.204269273275083,0.5555555555555556,0.6626506024096386,-0.5246913580246912,1.25
polymerJ96,"[-9, -3, 0, 6, -9, 3, 1, 2, -5, 7, -8, -1, 8, -9, 6, 9, 4]",830.0,15578.009693881157,358.0835429290975,18.55237795352935,0.1433190664099249,1.8866218561966888,4.209058441558441,17,0.11764705882352941,2,9,-9,6.124995586468292,5.294117647058823,9,3.082487648605624,3,2,9,3,1,1.6,0.8,0.4,0.33071895424836595,35.40327778292571,23.046918662065945,391.79761725512105,10.336321404838204,0.5625,0.5111111111111111,-0.59375,1.2857142857142856
polymerJ97,"[0, -1, 5, 1, 6, -6, -7, -1, 6, 2, 6, 2, 3, 1, 7, 7, -4, 2, -4]",830.0,16063.594634354731,313.0569812509546,17.183314661979676,0.0845740180847365,1.7051289628070034,4.418850931677017,19,1.3157894736842106,25,7,-7,4.230871896939241,3.736842105263158,7,2.380670079557609,8,3,6,8,1,2.5714285714285716,2.381904571504724,0.6470588235294118,0.3602668643439586,31.538104030173866,18.21462340837228,346.0778447590733,6.420863967658609,0.6666666666666666,0.676056338028169,-0.35714285714285704,2.0
polymerJ98,"[-4, -4, 0, -5, 3, -9, -8, -7, 8, -7, -3, 1, 2, -4, -7, -1, 1, -5]",830.0,12302.71398463398,412.01550832592295,15.729206585202904,0.1279352546928321,1.71293976957396,3.574241071428572,18,-2.7222222222222223,-49,8,-9,4.381850897046888,4.388888888888889,9,2.7108606441679672,2,3,8,3,1,1.7,0.7810249675906655,0.5,0.35232067510548526,49.0,18.778493554168282,338.01288397502907,11.241360230686512,0.29411764705882354,0.189873417721519,-0.3031674208144796,0.41666666666666674
polymer0,"[7, 0, -3, -1, -6, -8, 9, 6, -4, 3, -2, -2, 1, -4, -8, -6, -8, -7]",658.0,13079.3,437.72,17.78,0.18,1.76,3.85,18,-1.8333333333333333,-33,9,-8,5.155902766086006,4.722222222222222,9,2.764970475139845,2,5,7,5,1,2.125,1.4523687548277813,0.5625,0.3339869281045751,39.230090491866065,20.061107441274903,361.09993394294827,11.685545268819281,0.29411764705882354,0.3058823529411765,-0.3031674208144796,0.41666666666666674
